activateable,associateEntityType,associateParentEntity,createable,custom,customSetting,deepCloneable,deletable,deprecatedAndHidden,feedEnabled,hasSubtypes,isInterface,isSubtype,keyPrefix,label,labelPlural,layoutable,mergeable,mruEnabled,name,queryable,replicateable,retrieveable,searchable,triggerable,undeletable,updateable,urls
False,Share,Macro,True,False,False,False,True,False,False,False,False,False,,Compartir Macro,Compartir Macro,False,False,False,MacroShare,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/MacroShare/{ID}'), ('describe', '/services/data/v57.0/sobjects/MacroShare/describe'), ('sobject', '/services/data/v57.0/sobjects/MacroShare')])"
False,,,False,False,False,False,True,False,False,False,False,False,5ML,Uso de macro,Usos de macros,False,False,False,MacroUsage,True,True,True,False,True,True,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/MacroUsage/{ID}'), ('approvalLayouts', '/services/data/v57.0/sobjects/MacroUsage/describe/approvalLayouts'), ('describe', '/services/data/v57.0/sobjects/MacroUsage/describe'), ('sobject', '/services/data/v57.0/sobjects/MacroUsage')])"
False,Share,MacroUsage,True,False,False,False,True,False,False,False,False,False,,Compartir Uso de macro,Compartir Uso de macro,False,False,False,MacroUsageShare,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/MacroUsageShare/{ID}'), ('describe', '/services/data/v57.0/sobjects/MacroUsageShare/describe'), ('sobject', '/services/data/v57.0/sobjects/MacroUsageShare')])"
False,ChangeEvent,Mail_Masterbase__c,False,False,False,False,False,False,False,False,False,False,,Cambiar evento: Mail Masterbase,Cambiar evento: Mail Masterbase,False,False,False,Mail_Masterbase__ChangeEvent,False,False,True,False,True,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/Mail_Masterbase__ChangeEvent/{ID}'), ('eventSchema', '/services/data/v57.0/sobjects/Mail_Masterbase__ChangeEvent/eventSchema'), ('describe', '/services/data/v57.0/sobjects/Mail_Masterbase__ChangeEvent/describe'), ('sobject', '/services/data/v57.0/sobjects/Mail_Masterbase__ChangeEvent')])"
False,Share,Mail_Masterbase__c,True,False,False,False,True,False,False,False,False,False,,Compartir: Mail Masterbase,Compartir: Mail Masterbase,False,False,False,Mail_Masterbase__Share,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/Mail_Masterbase__Share/{ID}'), ('describe', '/services/data/v57.0/sobjects/Mail_Masterbase__Share/describe'), ('sobject', '/services/data/v57.0/sobjects/Mail_Masterbase__Share')])"
False,,,True,True,False,False,True,False,False,False,False,False,a01,Mail Masterbase,Mails Masterbase,True,False,False,Mail_Masterbase__c,True,True,True,True,True,True,True,"OrderedDict([('compactLayouts', '/services/data/v57.0/sobjects/Mail_Masterbase__c/describe/compactLayouts'), ('rowTemplate', '/services/data/v57.0/sobjects/Mail_Masterbase__c/{ID}'), ('approvalLayouts', '/services/data/v57.0/sobjects/Mail_Masterbase__c/describe/approvalLayouts'), ('describe', '/services/data/v57.0/sobjects/Mail_Masterbase__c/describe'), ('quickActions', '/services/data/v57.0/sobjects/Mail_Masterbase__c/quickActions'), ('layouts', '/services/data/v57.0/sobjects/Mail_Masterbase__c/describe/layouts'), ('sobject', '/services/data/v57.0/sobjects/Mail_Masterbase__c')])"
False,,,True,False,False,False,True,False,False,False,False,False,01H,Plantilla de combinación de correo (mail-merge),Plantilla de combinación de correo (mail-merge),False,False,False,MailmergeTemplate,True,True,True,False,False,True,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/MailmergeTemplate/{ID}'), ('describe', '/services/data/v57.0/sobjects/MailmergeTemplate/describe'), ('sobject', '/services/data/v57.0/sobjects/MailmergeTemplate')])"
False,,,False,False,False,False,False,False,False,False,False,False,20Y,Contenido gestionado,Contenidos gestionados,True,False,False,ManagedContent,True,True,True,False,False,False,False,"OrderedDict([('compactLayouts', '/services/data/v57.0/sobjects/ManagedContent/describe/compactLayouts'), ('rowTemplate', '/services/data/v57.0/sobjects/ManagedContent/{ID}'), ('describe', '/services/data/v57.0/sobjects/ManagedContent/describe'), ('layouts', '/services/data/v57.0/sobjects/ManagedContent/describe/layouts'), ('sobject', '/services/data/v57.0/sobjects/ManagedContent')])"
False,,,False,False,False,False,False,False,False,False,False,False,0ap,Canal de contenido gestionado,Canales de contenido gestionado,False,False,False,ManagedContentChannel,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/ManagedContentChannel/{ID}'), ('describe', '/services/data/v57.0/sobjects/ManagedContentChannel/describe'), ('sobject', '/services/data/v57.0/sobjects/ManagedContentChannel')])"
False,,,False,False,False,False,False,False,False,False,False,False,0Zu,Espacio de contenido gestionado,Espacios de contenido gestionado,False,False,True,ManagedContentSpace,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/ManagedContentSpace/{ID}'), ('describe', '/services/data/v57.0/sobjects/ManagedContentSpace/describe'), ('sobject', '/services/data/v57.0/sobjects/ManagedContentSpace')])"
False,,,False,False,False,False,False,False,False,False,False,False,9Ps,Variante de contenido gestionado,Variantes de contenido gestionado,True,False,False,ManagedContentVariant,True,True,True,True,False,False,False,"OrderedDict([('compactLayouts', '/services/data/v57.0/sobjects/ManagedContentVariant/describe/compactLayouts'), ('rowTemplate', '/services/data/v57.0/sobjects/ManagedContentVariant/{ID}'), ('describe', '/services/data/v57.0/sobjects/ManagedContentVariant/describe'), ('layouts', '/services/data/v57.0/sobjects/ManagedContentVariant/describe/layouts'), ('sobject', '/services/data/v57.0/sobjects/ManagedContentVariant')])"
False,,,True,False,False,False,True,False,False,False,False,False,2Yo,Tipo de acción,Tipos de acciones,True,False,False,MarketingAppExtAction,True,False,True,False,False,False,True,"OrderedDict([('compactLayouts', '/services/data/v57.0/sobjects/MarketingAppExtAction/describe/compactLayouts'), ('rowTemplate', '/services/data/v57.0/sobjects/MarketingAppExtAction/{ID}'), ('describe', '/services/data/v57.0/sobjects/MarketingAppExtAction/describe'), ('layouts', '/services/data/v57.0/sobjects/MarketingAppExtAction/describe/layouts'), ('sobject', '/services/data/v57.0/sobjects/MarketingAppExtAction')])"
